,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pradhan Mantri Gram Sadak Yojana,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SLR : Statewise List of Works,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,State: Himachal Pradesh     District : All Districts           Block : All Blocks    Year : All Years            Batch : All Batches            Collaboration : All Collaborations           Status : All Status         Loan Number: Not Available   Scheme : PMGSY 4   Sub Scheme : All,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Note : All Costs are in Lakhs and All Lengths are in Kms.,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sr.No.,District Name,Programme Implementation Unit,Block Name,Package No.,Sanctioned Year,Work Type,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,Sanction Cost,State Cost,Road Length (Kms),Bridge Length (Mtrs),Road Length Completed Till Date,Expenditure Till Date,,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,,,
,1,Bilaspur ,DPIU Of Bilaspur ,Bilaspur Sadar,HP1191,2025 - 2026,ROAD,L026-Link road from Solag to Jurasi,New,Solag Jursi [ 1003355],Link road from Solag to Jurasi,Solag Jursi [ 1003355]  { 1296} ,881.04,88.47,4.900,0.000,0,0.00,,Sanctioned,Regular PMGSY,,42.27,Financial: -/ Physical: -,,,
,2,Bilaspur ,DPIU Of Bilaspur ,Bilaspur Sadar,HP1192,2025 - 2026,ROAD,L046-Bharathu to Jungle Jhaleda road.,New,Bharthu [ 141037],Bharathu to Jungle Jhaleda road.,Bharthu [ 141037]  { 612} ,830.11,83.38,6.035,0.000,0,0.00,,Sanctioned,Regular PMGSY,,52.06,Financial: -/ Physical: -,,,
