,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pradhan Mantri Gram Sadak Yojana,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SLR : Statewise List of Works,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,State: Madhya Pradesh     District : All Districts           Block : All Blocks    Year : All Years            Batch : All Batches            Collaboration : All Collaborations           Status : All Status         Loan Number: All Loan Numbers   Scheme : PM-JANMAN   Sub Scheme : All,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Note : All Costs are in Lakhs and All Lengths are in Kms.,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sr.No.,District Name,Programme Implementation Unit,Block Name,Package No.,Sanctioned Year,Work Type,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,Sanction Cost,State Cost,Road Length (Kms),Bridge Length (Mtrs),Road Length Completed Till Date,Expenditure Till Date,,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,,,
,1,Anuppur ,DPIU Of Anuppur,Annupur,MP46PMJM06,2024 - 2025,ROAD,L021-Tanki (PMGSY Road) to Baigan tola,New,Baigan tola [ 1442307],Tanki (PMGSY Road) to Baigan tola,Baigan tola [ 1442307]  { 192} ,157.24,63.05,2.460,0.000,0,0.00,,Pending - Forest Clearance,Regular PMGSY,M/S NEERJA SINGH [26 Dec 2024],7.51,Financial: -/ Physical: -,,,
,2,Anuppur ,DPIU Of Anuppur,Annupur,MP46PMJM012,2024 - 2025,ROAD,L023-NH-43 to Pathtola,New,Path tola [ 1484976],NH-43 to Pathtola,Path tola [ 1484976]  { 514} ,122.78,49.11,1.760,0.000,0,0.00,,Agreement,Regular PMGSY,JAI MATA DEE CONSTRUCTION [07 Mar 2026],5.69,Financial: -/ Physical: -,,,
