,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pradhan Mantri Gram Sadak Yojana,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SLR : Statewise List of Works,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,State: Madhya Pradesh     District : All Districts           Block : All Blocks    Year : All Years            Batch : All Batches            Collaboration : All Collaborations           Status : All Status         Loan Number: All Loan Numbers   Scheme : PMGSY 2   Sub Scheme : All,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Note : All Costs are in Lakhs and All Lengths are in Kms.,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sr.No.,District Name,Programme Implementation Unit,Block Name,Package No.,Sanctioned Year,Work Type,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,Sanction Cost,State Cost,Road Length (Kms),Bridge Length (Mtrs),Road Length Completed Till Date,Expenditure Till Date,,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,,,
,1,Agar ,DPIU of Agar2,Agar,MP39601,2017 - 2018,ROAD,MRL01-Palda to Ladwan,Upgarde,"Ladwan [ 1249867], Pipliya Kumhar [ 1249897]",Palda to Ladwan,"Ladwan [ 1249867]  { 829} , Pipliya Kumhar [ 1249897]  { 631} ",683.04,273.55,12.000,0.000,11.872,587.51,,Maintenance,ADB (PMGSY),VVC REALINFRA PVT LTD [01 Jun 2018],40.14,Financial: 09-11-2020/ Physical: 31-07-2020,,,
,2,Agar ,DPIU of Agar2,Agar,MP51BR101,2017 - 2018,LSB,Palda to Ladwan (Nala at ch. 11950),Upgarde,,,,46.11,18.44,0.000,18.000,0,43.73,,Completed,Regular PMGSY,ANSH ENTERPRISES INDORE [13 Aug 2018],0.46,Financial: 05-02-2020/ Physical: 06-12-2019,,,
