,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pradhan Mantri Gram Sadak Yojana,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SLR : Statewise List of Works,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,State: Madhya Pradesh     District : All Districts           Block : All Blocks    Year : All Years            Batch : All Batches            Collaboration : All Collaborations           Status : All Status         Loan Number: All Loan Numbers   Scheme : RCPLWE   Sub Scheme : All,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Note : All Costs are in Lakhs and All Lengths are in Kms.,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sr.No.,District Name,Programme Implementation Unit,Block Name,Package No.,Sanctioned Year,Work Type,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,Sanction Cost,State Cost,Road Length (Kms),Bridge Length (Mtrs),Road Length Completed Till Date,Expenditure Till Date,,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,,,
,1,Balaghat ,DPIU Of Balaghat,Baihar,MP01801,2021 - 2022,ROAD,O-Bhaiswahi to Jaldidand,Upgarde,,Bhaiswahi to Jaldidand,Bhaiswahi [ 133895]  { 177} ,833.52,337.51,13.900,0.000,13.772,847.60,,Maintenance,Road Connectivity Project for Left Wing Extremism (RCPLWE),NILESH KANKARIYA [27 Sep 2022],42.25,Financial: 05-01-2026/ Physical: 12-11-2025,,,
,2,Balaghat ,DPIU Of Balaghat,Baihar,MP01802,2021 - 2022,ROAD,O-Godari  Dugali To Harranala,Upgarde,,Godari  Dugali To Harranala,"Duglai [ 313885]  { 124} , Harranala [ 414113]  { 584} ",968.36,392.65,16.000,0.000,15.5,"1,038.77",,Maintenance,Road Connectivity Project for Left Wing Extremism (RCPLWE),P S CONSTRUCTION [04 Jan 2023],48.92,Financial: 26-12-2024/ Physical: 22-10-2024,,,
