,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pradhan Mantri Gram Sadak Yojana,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SLR : Statewise List of Works,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,State: Manipur     District : All Districts           Block : All Blocks    Year : All Years            Batch : All Batches            Collaboration : All Collaborations           Status : All Status         Loan Number: Not Available   Scheme : PM-JANMAN   Sub Scheme : All,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Note : All Costs are in Lakhs and All Lengths are in Kms.,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sr.No.,District Name,Programme Implementation Unit,Block Name,Package No.,Sanctioned Year,Work Type,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,Sanction Cost,State Cost,Road Length (Kms),Bridge Length (Mtrs),Road Length Completed Till Date,Expenditure Till Date,,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,,,
,1,Senapati ,DPIU Of Senapati,Kangpokpi T.D.Block,MN06400,2025 - 2026,ROAD,L063-NH2 to Kazanga,New,Kazanga [ 1624101],NH2 to Kazanga,Kazanga [ 1624101]  { 250} ,"1,749.89",174.99,14.000,0.000,0,0.00,,Sanctioned,Regular PMGSY,,175.00,Financial: -/ Physical: -,,,
,2,Senapati ,DPIU Of Senapati,Mao Maram T.D. Block,MN06398,2025 - 2026,ROAD,L063-NH129A To Sangkhumei,New,Shangkhumei [ 1298016],NH129A To Sangkhumei,Shangkhumei [ 1298016]  { 1068} ,323.07,32.31,3.000,0.000,0,0.00,,Sanctioned,Regular PMGSY,,32.32,Financial: -/ Physical: -,,,
,3,Senapati ,DPIU Of Senapati,Mao Maram T.D. Block,MN06403,2025 - 2026,ROAD,L057-NH2 To Maram Ramlung,New,Maram Ramlong [ 679280],NH2 To Maram Ramlung,Maram Ramlong [ 679280]  { 677} ,160.63,16.06,1.750,0.000,0,0.00,,Sanctioned,Regular PMGSY,,16.09,Financial: -/ Physical: -,,,
,4,Senapati ,DPIU Of Senapati,Mao Maram T.D. Block,MN06401,2025 - 2026,ROAD,L055-NH129A To Sangkunglung,New,Sangkunglung [ 1298014],NH129A To Sangkunglung,Sangkunglung [ 1298014]  { 762} ,384.05,38.41,3.500,0.000,0,0.00,,Sanctioned,Regular PMGSY,,38.40,Financial: -/ Physical: -,,,
,5,Senapati ,DPIU Of Senapati,Mao Maram T.D. Block,MN06404,2025 - 2026,ROAD,L065-Toklang to Ngatan,New,Ngatan [ 781171],Toklang to Ngatan,Ngatan [ 781171]  { 800} ,595.98,59.60,5.620,0.000,0,0.00,,Sanctioned,Regular PMGSY,,59.60,Financial: -/ Physical: -,,,
,6,Senapati ,DPIU Of Senapati,Mao Maram T.D. Block,MN06406,2025 - 2026,ROAD,L068-L029 to Malingli ,New,Malingli [ 1670303],L029 to Malingli ,Malingli  [ 1670303]  { 181} ,226.55,22.66,2.100,0.000,0,0.00,,Sanctioned,Regular PMGSY,,22.65,Financial: -/ Physical: -,,,
,7,Senapati ,DPIU Of Senapati,Mao Maram T.D. Block,MN06407,2025 - 2026,ROAD,L069-NH2 to New Dinamei,New,New Dinamei [ 1670304],NH2 to New Dinamei,New Dinamei [ 1670304]  { 147} ,189.49,18.95,1.750,0.000,0,0.00,,Sanctioned,Regular PMGSY,,18.96,Financial: -/ Physical: -,,,
,8,Senapati ,DPIU Of Senapati,Mao Maram T.D. Block,MN06405,2025 - 2026,ROAD,L067-L029 To Taksagalung,New,Sadim Taksagalung [ 1670296],L029 To Taksagalung,Sadim Taksagalung [ 1670296]  { 121} ,374.12,37.41,3.500,0.000,0,0.00,,Sanctioned,Regular PMGSY,,37.40,Financial: -/ Physical: -,,,
,,,,Total,,,,,,,,,"4,003.78",400.39,35.22,0,0,0.00,,,,,400.42,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
