,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pradhan Mantri Gram Sadak Yojana,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SLR : Statewise List of Works,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,State: Manipur     District : All Districts           Block : All Blocks    Year : All Years            Batch : All Batches            Collaboration : All Collaborations           Status : All Status         Loan Number: Not Available   Scheme : PMGSY 1   Sub Scheme : All,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Note : All Costs are in Lakhs and All Lengths are in Kms.,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sr.No.,District Name,Programme Implementation Unit,Block Name,Package No.,Sanctioned Year,Work Type,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,Sanction Cost,State Cost,Road Length (Kms),Bridge Length (Mtrs),Road Length Completed Till Date,Expenditure Till Date,,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,,,
,1,Bishnupur ,DPIU Of Bishnupur,Bishnupur C.D. Block,MN0100,2000 - 2001,ROAD,Ngakchoupokpi - Potsangbam,Upgarde,,Mongjing Leikai To Kamong,Kamong  [ 498073]  { 1320} ,2.70,0.00,0.360,0.000,0.36,0.00,,Completed,Regular PMGSY,S Kavei [12 Feb 2000],0.00,Financial: 31-03-2011/ Physical: 30-06-2001,,,
,2,Bishnupur ,DPIU Of Bishnupur,Bishnupur C.D. Block,MN0100,2000 - 2001,ROAD,Oinam Wangoi Rd.,Upgarde,,Mongjing Leikai To Kamong,Kamong  [ 498073]  { 1320} ,3.52,0.00,0.470,0.000,0.47,0.00,,Completed,Regular PMGSY,S Kavei [12 Feb 2000],0.00,Financial: 31-03-2011/ Physical: 31-05-2000,,,
