,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pradhan Mantri Gram Sadak Yojana,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SLR : Statewise List of Works,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,State: Manipur     District : All Districts           Block : All Blocks    Year : All Years            Batch : All Batches            Collaboration : All Collaborations           Status : All Status         Loan Number: Not Available   Scheme : PMGSY 2   Sub Scheme : All,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Note : All Costs are in Lakhs and All Lengths are in Kms.,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sr.No.,District Name,Programme Implementation Unit,Block Name,Package No.,Sanctioned Year,Work Type,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,Sanction Cost,State Cost,Road Length (Kms),Bridge Length (Mtrs),Road Length Completed Till Date,Expenditure Till Date,,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,,,
,1,Bishnupur ,DPIU Of Bishnupur,Bishnupur C.D. Block,MN0181,2019 - 2020,ROAD,"MRL01-Bishnupur Awang to Loukoipat I, II",Upgarde,"Bishnupur Awang Leikai Loukoipat Ward no.1 [ 1300159], Bishnupur Ward no.2 [ 1302133]","Bishnupur Awang to Loukoipat I, II","Bishnupur Awang Leikai Loukoipat Ward no.1 [ 1300159]  { 1670} , Bishnupur Ward no.2 [ 1302133]  { 756} ",214.62,21.46,2.670,0.000,2.67,179.12,,Maintenance,Regular PMGSY,"Yumnam Arun Singh [30 Dec 2020], Yumnam Arun Singh [26 Apr 2021]",21.47,Financial: 30-08-2022/ Physical: 08-04-2022,,,
